"year","gross_income","expense","net_profit"
2015,"17182.92","15118.11","2064.81"
2016,"142006.24","107780.22","34226.02"
2017,"529382.51","422063.25","107319.26"
2018,"1176975.83","906008.66","270967.17"
2019,"2084225.71","1559784.42","524441.29"
2020,"3445381.39","2850081.36","595300.03"
2021,"5482683.28","4348756.37","1133926.91"
2022,"7537182.68","6938967.46","598215.22"
2023,"7354398.53","7182464.77","171933.76"
2024,"6611762.86","6385042.37","226720.49"
2025,"6434726.08","6172817.16","261908.92"
2026,"7219983.75","6734275.82","485707.93"
