"scenario","projected_year","year_index","projected_revenue","projected_expense","projected_profit","projected_net_margin_pct"
"Base Case (Historical CAGR)",2027,1,"7354997.45","6861553.63","493443.81","6.71"
"Base Case (Historical CAGR)",2028,2,"7492535.90","6991237.00","501298.90","6.69"
"Base Case (Historical CAGR)",2029,3,"7632646.32","7123371.38","509274.94","6.67"
"Base Case (Historical CAGR)",2030,4,"7775376.81","7258003.09","517373.71","6.65"
"Base Case (Historical CAGR)",2031,5,"7920776.35","7395179.35","525597.00","6.64"
"Bear Case (Flat)",2027,1,"7219983.75","6868961.34","351022.41","4.86"
"Bear Case (Flat)",2028,2,"7219983.75","7006340.56","213643.19","2.96"
"Bear Case (Flat)",2029,3,"7219983.75","7146467.37","73516.38","1.02"
"Bear Case (Flat)",2030,4,"7219983.75","7289396.72","-69412.97","-0.96"
"Bear Case (Flat)",2031,5,"7219983.75","7435184.66","-215200.91","-2.98"
"Bull Case (Expansion)",2027,1,"7544883.02","6902632.72","642250.30","8.51"
"Bull Case (Expansion)",2028,2,"7884402.75","7075198.53","809204.22","10.26"
"Bull Case (Expansion)",2029,3,"8239200.88","7252078.50","987122.38","11.98"
"Bull Case (Expansion)",2030,4,"8609964.92","7433380.46","1176584.46","13.67"
"Bull Case (Expansion)",2031,5,"8997413.34","7619214.97","1378198.37","15.32"
