"year","revenue","expense","net_profit","yoy_growth_pct","ten_year_cagr","ten_year_expense_cagr"
2015,"17182.92","15118.11","2064.81","","",""
2016,"142006.24","107780.22","34226.02","726.44","",""
2017,"529382.51","422063.25","107319.26","272.79","",""
2018,"1176975.83","906008.66","270967.17","122.33","",""
2019,"2084225.71","1559784.42","524441.29","77.08","",""
2020,"3445381.39","2850081.36","595300.03","65.31","",""
2021,"5482683.28","4348756.37","1133926.91","59.13","",""
2022,"7537182.68","6938967.46","598215.22","37.47","",""
2023,"7354398.53","7182464.77","171933.76","-2.43","",""
2024,"6611762.86","6385042.37","226720.49","-10.10","",""
2025,"6434726.08","6172817.16","261908.92","-2.68","1.87","1.89"
