"year","gross_income","expense","net_profit","net_margin_pct","expense_revenue_pct"
2015,"17182.92","15118.11","2064.81","12.02","87.98"
2016,"142006.24","107780.22","34226.02","24.10","75.90"
2017,"529382.51","422063.25","107319.26","20.27","79.73"
2018,"1176975.83","906008.66","270967.17","23.02","76.98"
2019,"2084225.71","1559784.42","524441.29","25.16","74.84"
2020,"3445381.39","2850081.36","595300.03","17.28","82.72"
2021,"5482683.28","4348756.37","1133926.91","20.68","79.32"
2022,"7537182.68","6938967.46","598215.22","7.94","92.06"
2023,"7354398.53","7182464.77","171933.76","2.34","97.66"
2024,"6611762.86","6385042.37","226720.49","3.43","96.57"
2025,"6434726.08","6172817.16","261908.92","4.07","95.93"
